temperatura_atual,temperatura_maxima,temperatura_minima,umidade_relativa,pressao_atmosferica,velocidade_vento,direcao_vento,precipitacao_mm,visibilidade,cobertura_nuvens,indice_uv,sensacao_termica,ponto_orvalho,mes,estacao,hora_dia,tipo_residencia,ano_construcao,idade_imovel,valor_segurado,faixa_valor,material_construcao,cep_prefixo,regiao_metropolitana,risco_construcao,sinistro_ocorreu,coverage_type,data_sinistro,claim_probability,temperatura_diferencial,gradiente_pressao_24h,precipitacao_24h,precipitacao_7dias
10.1,11.3,7.8,100.0,1009.9,6.6,266.9,117.8,10027.0,100.0,0.3,9.3,10.1,11,primavera,0,sobrado,2017,8,399971.53,medio,madeira,95550,False,0.5,1,alagamento,2022-11-09T00:36:26.343346,0.36,3.500000000000001,4.831638344938505,227.04830517204593,777.4480704237269
28.9,30.4,22.6,30.0,1010.4,6.5,53.4,0.0,13801.0,27.9,5.4,30.7,14.9,6,inverno,13,casa,2000,25,349205.64,medio,alvenaria,53594,False,0.6000000000000001,0,alagamento,2025-06-29T13:36:26.343346,0.18,7.799999999999997,-2.3702128937913804,0.0,0.0
13.2,16.4,8.8,85.9,1021.6,10.2,99.1,14.1,9459.0,57.3,0.7,12.3,10.4,5,outono,21,apartamento,1986,39,80650.27,baixo,mista,08077,True,0.7,0,alagamento,2025-05-23T21:36:26.343346,0.3,7.599999999999998,10.746810483636393,24.756253278885115,84.96022814310477
37.8,40.4,33.7,40.9,1007.3,11.4,248.7,0.0,11489.0,27.9,8.1,38.6,26.0,4,outono,12,apartamento,2020,5,548217.84,alto,alvenaria,03029,True,0.2,0,alagamento,2025-04-14T12:36:26.343346,0.3,6.699999999999996,-2.4056912702497986,0.0,0.0
21.8,26.0,20.4,81.0,997.2,7.9,45.7,144.4,10557.0,100.0,4.7,20.2,18.0,7,inverno,15,casa,2011,14,742634.37,alto,alvenaria,73033,False,0.4,1,alagamento,2023-07-02T15:36:26.343346,0.36,5.600000000000001,5.795339063612533,271.9788164358765,1791.2065967259489
21.7,22.2,20.8,72.5,1014.9,7.0,336.8,0.0,13798.0,27.6,3.1,23.5,16.2,4,outono,2,casa,2019,6,698085.01,alto,alvenaria,58899,False,0.30000000000000004,0,alagamento,2025-04-19T02:36:26.343346,0.18,1.3999999999999986,-8.90813752792891,0.0,0.0
21.6,22.6,18.6,80.0,1014.8,3.7,108.9,0.0,8703.0,12.3,4.7,20.1,17.6,5,outono,21,casa,2009,16,288054.05,medio,alvenaria,39896,False,0.5,0,alagamento,2024-05-14T21:36:26.343346,0.18,4.0,5.8280882829001515,0.0,0.0
7.7,11.9,5.0,100.0,1008.0,6.1,206.5,132.3,9627.0,100.0,0.0,8.2,7.7,6,inverno,5,sobrado,2004,21,78936.88,baixo,mista,08526,True,0.8,1,alagamento,2023-06-20T05:36:26.343346,0.72,6.9,-10.160256378409768,393.7176271764435,2087.0074923239813
33.9,36.1,29.7,88.9,1016.6,5.0,221.0,111.3,5376.0,100.0,7.2,33.0,31.7,5,outono,12,casa,1994,31,376370.0,medio,alvenaria,08139,True,0.7,1,alagamento,2023-05-31T12:36:26.343346,0.9359999999999999,6.400000000000002,-1.817178449257375,211.7881345219273,990.267603721821
31.2,33.3,23.6,100.0,1010.0,6.1,76.0,115.8,9077.0,100.0,6.1,30.3,31.2,5,outono,14,apartamento,2007,18,163347.03,medio,madeira,03781,True,0.4,1,alagamento,2024-05-07T14:36:26.343346,0.72,9.699999999999996,-17.06271623180588,324.4395837938718,2113.6736849017434
21.9,24.2,13.9,80.0,1016.8,0.0,141.7,0.0,11214.0,17.5,3.4,23.7,17.9,5,outono,19,casa,2015,10,322972.03,medio,alvenaria,30295,True,0.4,0,alagamento,2025-05-12T19:36:26.343346,0.3,10.299999999999999,-3.8762522524249197,0.0,0.0
30.7,31.3,22.9,97.9,1005.0,5.0,199.0,75.2,13997.0,100.0,7.2,29.5,30.3,9,primavera,8,apartamento,2017,8,712515.56,alto,alvenaria,76349,False,0.2,0,alagamento,2024-09-10T08:36:26.343346,0.36,8.400000000000002,2.144706254619649,109.9715673157351,284.9699846715942
29.9,30.3,22.9,76.4,1010.3,11.9,351.3,38.1,12738.0,100.0,6.8,32.0,25.2,10,primavera,8,sobrado,1980,45,199744.75,medio,madeira,51736,True,0.8,0,alagamento,2024-10-27T08:36:26.343346,0.3,7.400000000000002,-0.14091391176889712,70.37152826145933,309.06540624981204
26.5,27.2,23.4,40.0,1024.7,0.0,87.2,0.0,9203.0,36.4,6.0,25.7,14.5,5,outono,16,casa,2014,11,479191.65,alto,alvenaria,07257,True,0.4,1,alagamento,2024-05-11T16:36:26.343346,0.3,3.8000000000000007,10.875443430401104,0.0,0.0
22.8,26.6,21.9,95.1,1000.5,8.1,250.3,123.4,7386.0,100.0,4.6,21.8,21.8,9,primavera,18,sobrado,2003,22,330498.1,medio,alvenaria,25185,True,0.7,0,alagamento,2025-09-03T18:36:26.343346,0.72,4.700000000000003,14.061306012049585,183.29946194252972,734.1018084036585
15.8,18.0,10.9,100.0,1008.3,5.0,323.9,65.3,11728.0,100.0,2.2,15.5,15.8,5,outono,3,apartamento,2011,14,311216.0,medio,alvenaria,05593,True,0.4,0,alagamento,2023-05-13T03:36:26.343346,0.72,7.1,4.444327242919667,169.43451951401977,1107.214949567368
11.6,14.7,10.7,100.0,1002.3,12.5,253.4,109.4,5805.0,100.0,1.3,10.8,11.6,10,primavera,20,casa,1988,37,104278.12,baixo,alvenaria,07701,True,0.8,1,alagamento,2022-10-21T20:36:26.343346,0.9359999999999999,4.0,11.452191817579443,215.37398740419755,1434.0678546506556
23.9,27.2,19.2,88.2,1001.8,14.4,326.4,107.5,6368.0,100.0,4.5,22.9,21.5,4,outono,8,casa,1994,31,148079.0,baixo,madeira,08102,True,0.8,1,alagamento,2023-04-07T08:36:26.343346,0.9359999999999999,8.0,2.1720756029789428,210.1890012984435,438.6654367919783
22.5,23.0,20.3,78.7,1012.5,13.0,57.5,0.0,12836.0,17.9,3.5,21.0,18.2,4,outono,3,casa,1996,29,138757.69,baixo,alvenaria,26723,True,0.7,0,alagamento,2025-04-12T03:36:26.343346,0.3,2.6999999999999993,-5.506309390555895,0.0,0.0
12.4,12.7,11.3,90.0,1017.1,2.7,112.0,18.4,11137.0,71.0,0.4,12.0,10.4,5,outono,2,apartamento,2021,4,467682.81,alto,alvenaria,04371,True,0.2,0,alagamento,2025-05-30T02:36:26.343346,0.3,1.3999999999999986,-1.316707264997771,33.958677353808525,214.851106373754
10.1,12.7,3.8,100.0,1008.6,6.9,264.8,102.8,13526.0,100.0,1.1,8.3,10.1,8,inverno,22,apartamento,2000,25,312383.79,medio,madeira,08874,True,0.5,1,alagamento,2023-08-29T22:36:26.343346,0.72,8.899999999999999,-1.1994157313361336,196.56670900463936,1149.9419975089656
31.8,36.4,25.9,71.6,1014.1,8.2,220.3,134.7,12016.0,100.0,6.4,29.8,26.1,4,outono,16,apartamento,2021,4,197159.67,medio,alvenaria,49482,False,0.30000000000000004,0,alagamento,2023-04-18T16:36:26.343346,0.36,10.5,-11.082417198346423,187.83735405624458,1235.2659582336412
31.8,33.3,29.4,57.6,1006.6,14.6,93.3,0.0,14696.0,11.8,6.3,34.6,23.3,12,verao,8,sobrado,1993,32,67523.12,baixo,alvenaria,09170,True,0.8999999999999999,0,alagamento,2023-12-22T08:36:26.343346,0.3,3.8999999999999986,3.821445392327057,0.0,0.0
20.2,20.3,13.3,88.2,1004.1,5.7,230.0,148.6,6941.0,100.0,2.6,21.7,17.9,7,inverno,17,casa,1991,34,52860.02,baixo,alvenaria,75760,False,0.8,1,alagamento,2024-07-26T17:36:26.343346,0.46799999999999997,7.0,-15.1520474360594,202.53926502340997,932.2520822765905
28.0,28.9,27.2,78.0,1011.1,12.9,25.5,23.2,14973.0,81.0,5.8,26.3,23.6,1,verao,1,apartamento,1996,29,286100.68,medio,alvenaria,42074,True,0.5,0,alagamento,2025-01-14T01:36:26.343346,0.3,1.6999999999999993,7.4751813064595005,40.26743256249181,94.27239456392816
14.0,15.4,7.0,63.0,1016.5,1.2,173.2,0.0,12689.0,14.2,2.6,15.3,6.6,7,inverno,7,casa,2004,21,309889.56,medio,alvenaria,05036,True,0.6000000000000001,0,alagamento,2025-07-13T07:36:26.343346,0.3,8.4,2.0491254320995784,0.0,0.0
19.1,20.4,19.0,70.1,1015.2,13.2,7.7,0.0,8943.0,18.2,2.9,21.0,13.1,6,inverno,20,casa,1982,43,158416.56,medio,alvenaria,72616,True,0.7,0,alagamento,2024-06-06T20:36:26.343346,0.3,1.3999999999999986,-3.0244797018926324,0.0,0.0
35.3,40.2,33.2,61.0,1022.9,2.5,308.6,0.0,11693.0,31.5,8.5,38.1,27.5,1,verao,15,casa,2019,6,245650.83,medio,mista,05271,True,0.4,0,alagamento,2025-01-27T15:36:26.343346,0.3,7.0,-0.21790749770804085,0.0,0.0
22.5,22.6,18.3,64.3,1002.5,29.5,2.4,50.7,5885.0,100.0,3.8,23.5,15.4,3,outono,10,apartamento,1981,44,85578.39,baixo,alvenaria,87909,False,0.7,0,alagamento,2025-03-29T10:36:26.343346,0.3,4.300000000000001,-0.5980029838092378,130.46862005822254,903.0119544410761
18.5,21.0,12.1,90.0,1014.5,9.4,0.7,0.0,12751.0,30.9,3.3,19.9,16.5,11,primavera,2,apartamento,2005,20,105152.39,baixo,alvenaria,01656,True,0.5,1,alagamento,2023-11-09T02:36:26.343346,0.3,8.9,4.0543889410902265,0.0,0.0
21.1,24.0,15.0,100.0,1009.5,10.4,102.0,60.1,5145.0,100.0,4.5,21.0,21.1,12,verao,1,apartamento,2003,22,263380.22,medio,alvenaria,01778,True,0.5,1,alagamento,2022-12-07T01:36:26.343346,0.72,9.0,9.798179647274965,143.14763024587154,776.4747733028779
40.7,44.0,34.0,71.1,1000.4,6.7,178.6,73.9,14889.0,100.0,10.5,41.2,34.9,12,verao,11,apartamento,2009,16,352538.51,medio,madeira,01324,True,0.4,0,alagamento,2023-12-02T11:36:26.343346,0.72,10.0,-7.987098008112604,178.40903317110914,951.480316531702
35.9,36.4,32.4,80.1,1001.3,9.7,326.7,105.6,9463.0,100.0,7.9,35.4,31.9,9,primavera,14,casa,1993,32,60384.05,baixo,alvenaria,05610,True,0.8,1,alagamento,2025-09-18T14:36:26.343346,0.9359999999999999,4.0,-2.8304990048917134,147.8969090976056,563.4560503772649
7.2,9.7,2.3,94.6,1008.5,16.6,15.0,0.0,13863.0,15.4,0.0,7.2,6.1,5,outono,1,casa,1999,26,52734.69,baixo,alvenaria,84962,False,0.7,0,alagamento,2023-05-08T01:36:26.343346,0.23399999999999999,7.3999999999999995,-8.943488197649547,0.0,0.0
14.5,16.7,10.4,52.5,1010.4,10.9,341.9,0.0,13126.0,22.8,2.1,15.6,5.0,6,inverno,17,casa,2014,11,387234.62,medio,mista,04261,True,0.5,1,alagamento,2023-06-14T17:36:26.343346,0.3,6.299999999999999,-10.023927523003891,0.0,0.0
6.3,8.3,1.8,90.0,1021.8,3.7,154.4,0.0,6490.0,18.0,0.0,5.5,4.3,8,inverno,18,apartamento,1990,35,67072.11,baixo,alvenaria,07836,True,0.7,0,alagamento,2024-08-26T18:36:26.343346,0.3,6.500000000000001,-7.671678788750016,0.0,0.0
29.9,32.6,27.2,100.0,1009.5,15.4,15.6,77.0,9284.0,100.0,5.6,29.8,29.9,3,outono,10,sobrado,1997,28,568244.16,alto,alvenaria,91293,True,0.6,1,alagamento,2023-03-05T10:36:26.343346,0.9359999999999999,5.400000000000002,3.6713318013794307,119.73711278397937,675.1084490872457
22.0,25.5,19.6,86.8,1012.8,5.0,199.8,87.9,13724.0,100.0,4.3,24.6,19.4,8,inverno,11,casa,2007,18,344821.81,medio,alvenaria,91595,True,0.5,1,alagamento,2025-08-18T11:36:26.343346,0.72,5.899999999999999,-13.575418343166717,188.0925508219681,1122.5523956257732
22.8,23.0,21.7,68.8,1013.2,13.6,357.7,0.0,6480.0,35.4,4.9,21.2,16.6,4,outono,2,casa,1988,37,290992.99,medio,alvenaria,79715,False,0.7,0,alagamento,2023-04-05T02:36:26.343346,0.23399999999999999,1.3000000000000007,-3.925273208389069,0.0,0.0
33.4,36.4,28.1,55.6,1010.8,22.7,54.8,62.2,8406.0,100.0,7.3,34.5,24.6,2,verao,15,casa,1980,45,255951.55,medio,alvenaria,26628,True,0.7,0,alagamento,2025-02-08T15:36:26.343346,0.3,8.299999999999997,-2.089583034801535,178.2777476902653,551.7923833347384
14.1,17.3,10.2,90.5,1007.6,20.3,86.0,0.0,5011.0,30.0,1.2,13.3,12.2,1,verao,1,casa,2002,23,145972.53,baixo,alvenaria,92513,True,0.7,0,alagamento,2023-01-06T01:36:26.343346,0.3,7.100000000000001,-3.8652896025034447,0.0,0.0
13.9,15.7,12.3,100.0,1006.4,5.0,20.2,128.7,12510.0,100.0,1.3,15.2,13.9,5,outono,5,casa,1986,39,117652.7,baixo,alvenaria,05650,True,0.8,0,alagamento,2024-05-19T05:36:26.343346,0.9359999999999999,3.3999999999999986,-8.14384282298062,324.3563763132749,2079.236373800659
1.9,5.5,-3.6,100.0,997.8,9.1,188.0,83.7,14465.0,100.0,0.0,3.6,1.9,8,inverno,18,apartamento,1980,45,102798.39,baixo,alvenaria,84194,False,0.7,1,alagamento,2024-08-29T18:36:26.343346,0.46799999999999997,9.1,1.9941398826767864,222.5752167081103,1426.181056561481
17.3,17.7,17.0,85.0,1009.5,7.8,121.9,61.9,7017.0,100.0,2.7,16.2,14.3,8,inverno,4,casa,1995,30,90259.9,baixo,alvenaria,23527,True,0.7,1,alagamento,2025-08-04T04:36:26.343346,0.9359999999999999,0.6999999999999993,-3.201119622169408,168.56954354596692,418.79078587484213
12.9,14.3,10.7,100.0,1010.2,8.1,318.4,94.8,14924.0,100.0,1.6,13.2,12.9,7,inverno,7,apartamento,1985,40,96446.74,baixo,alvenaria,21715,True,0.7,1,alagamento,2024-07-25T07:36:26.343346,0.9359999999999999,3.6000000000000014,-1.5878110122752631,155.67446415211512,624.1663033201295
26.0,26.3,25.1,97.5,1008.1,19.4,130.9,86.1,14591.0,100.0,5.1,25.9,25.5,1,verao,18,casa,1972,53,135663.92,baixo,alvenaria,57203,False,0.8,1,alagamento,2024-01-17T18:36:26.343346,0.46799999999999997,1.1999999999999993,3.6610682835693087,192.70071052029112,1081.542882295192
33.1,34.4,31.6,84.7,1004.8,14.7,245.6,146.3,6280.0,100.0,6.5,35.5,30.1,5,outono,15,casa,1995,30,131899.34,baixo,alvenaria,68601,False,0.7,1,alagamento,2024-05-07T15:36:26.343346,0.46799999999999997,2.799999999999997,-5.062828287315406,327.05453899698443,839.7332709484405
15.7,18.0,9.0,100.0,998.5,15.1,129.8,129.2,7404.0,100.0,1.5,14.0,15.7,10,primavera,23,apartamento,1988,37,137436.6,baixo,alvenaria,99409,False,0.7,0,alagamento,2023-10-31T23:36:26.343346,0.46799999999999997,9.0,5.572020514809708,250.7065450208002,742.3742042645551
29.6,33.3,22.9,97.9,1001.4,7.2,136.5,105.5,14724.0,100.0,5.8,31.4,29.2,5,outono,9,apartamento,1993,32,134216.85,baixo,alvenaria,02486,True,0.7,1,alagamento,2023-05-18T09:36:26.343346,0.9359999999999999,10.399999999999999,-0.6914047206715821,180.37894024752464,642.3772188475624
21.9,26.7,18.3,86.7,1002.9,10.4,219.9,100.5,14528.0,100.0,3.1,24.1,19.3,7,inverno,9,casa,2019,6,150785.44,medio,alvenaria,08938,True,0.4,0,alagamento,2025-07-10T09:36:26.343346,0.72,8.399999999999999,-0.34974930948475436,163.2946211210983,1051.174798654118
16.2,19.3,10.8,78.2,1016.6,10.4,43.3,0.0,12223.0,10.3,2.7,15.0,11.8,8,inverno,0,apartamento,2007,18,193691.67,medio,alvenaria,44624,False,0.4,0,alagamento,2023-08-27T00:36:26.343346,0.18,8.5,1.4824159130984795,0.0,0.0
29.4,32.2,23.8,80.0,1010.4,29.4,31.7,59.3,5202.0,100.0,6.7,29.7,25.4,2,verao,18,casa,2002,23,593841.43,alto,alvenaria,75737,False,0.5,0,alagamento,2023-02-06T18:36:26.343346,0.3,8.400000000000002,-5.367669005972666,172.21209473186508,857.6985746305409
26.9,27.6,21.3,71.4,1006.8,22.0,37.5,40.2,9447.0,97.8,4.9,26.9,21.2,9,primavera,9,casa,1976,49,119184.33,baixo,alvenaria,86689,False,0.8,0,alagamento,2024-09-13T09:36:26.343346,0.3,6.300000000000001,14.526776890524292,89.3995232324368,599.4181399422408
39.5,41.9,35.7,76.2,1009.6,5.0,355.0,145.0,5136.0,100.0,9.3,40.8,34.8,12,verao,13,apartamento,2015,10,313352.81,medio,alvenaria,03694,True,0.30000000000000004,1,alagamento,2022-12-23T13:36:26.343346,0.72,6.199999999999996,-6.315873607631374,382.45171862152705,1008.9726958339359
20.5,24.8,16.2,100.0,1005.4,6.1,326.4,57.1,14540.0,100.0,2.8,20.8,20.5,9,primavera,1,casa,1970,55,76679.22,baixo,madeira,36943,False,0.8,0,alagamento,2024-09-12T01:36:26.343346,0.46799999999999997,8.600000000000001,-6.004219503682436,91.40175481705116,420.93413384161613
20.1,20.3,18.4,90.0,1013.4,5.7,67.6,0.0,13931.0,18.0,2.9,19.7,18.1,2,verao,19,sobrado,2005,20,278487.34,medio,alvenaria,08011,True,0.6000000000000001,0,alagamento,2024-02-07T19:36:26.343346,0.3,1.9000000000000021,-7.706329091990008,0.0,0.0
31.8,33.2,26.7,58.2,1013.9,12.0,248.5,0.0,10354.0,32.6,7.1,31.2,23.4,3,outono,16,casa,1971,54,200555.21,medio,alvenaria,26235,True,0.7,0,alagamento,2023-03-02T16:36:26.343346,0.3,6.5000000000000036,4.542159202407657,0.0,0.0
