temperatura_atual,temperatura_maxima,temperatura_minima,umidade_relativa,pressao_atmosferica,velocidade_vento,direcao_vento,precipitacao_mm,visibilidade,cobertura_nuvens,indice_uv,sensacao_termica,ponto_orvalho,mes,estacao,hora_dia,tipo_residencia,ano_construcao,idade_imovel,valor_segurado,faixa_valor,material_construcao,cep_prefixo,regiao_metropolitana,risco_construcao,sinistro_ocorreu,coverage_type,data_sinistro,claim_probability,temperatura_diferencial,gradiente_pressao_24h,precipitacao_24h,precipitacao_7dias
27.0,28.9,22.1,58.1,1010.1,6.9,87.4,33.2,6462.0,100.0,5.1,27.4,18.6,4,outono,7,apartamento,2011,14,525431.72,alto,alvenaria,36440,False,0.30000000000000004,0,danos_eletricos,2023-04-29T07:36:25.081341,0.3,6.799999999999997,-4.264751029723028,97.17401166148,228.30099807729505
16.7,21.1,11.0,97.1,997.2,76.5,349.5,57.6,13557.0,100.0,2.9,15.3,16.1,6,inverno,5,casa,2023,2,996997.49,premium,alvenaria,30179,True,0.25,1,danos_eletricos,2023-06-12T05:36:25.081341,0.95,10.100000000000001,-8.35143024730173,109.38038000368444,730.5063850278141
13.1,15.2,10.8,90.0,1017.6,0.0,321.1,0.0,14351.0,35.8,1.4,15.4,11.1,5,outono,18,casa,2020,5,167331.75,medio,alvenaria,06039,True,0.4,0,danos_eletricos,2023-05-22T18:36:25.081341,0.3,4.399999999999999,2.2665017417162794,0.0,0.0
25.9,28.3,24.2,75.5,1013.0,0.8,316.5,0.0,12316.0,18.8,4.8,28.5,21.0,5,outono,17,casa,1988,37,160104.02,medio,alvenaria,31262,True,0.7,0,danos_eletricos,2023-05-04T17:36:25.081341,0.3,4.100000000000001,8.291756888313559,0.0,0.0
14.7,15.2,13.4,85.8,1023.7,5.9,35.3,0.0,7422.0,34.1,1.7,13.3,11.9,3,outono,1,sobrado,1974,51,91424.18,baixo,alvenaria,06430,True,0.8999999999999999,0,danos_eletricos,2023-03-30T01:36:25.081341,0.3,1.799999999999999,-12.127234446634022,0.0,0.0
12.6,12.6,10.7,77.1,1009.4,8.2,273.2,0.0,7054.0,48.3,1.6,11.7,8.0,8,inverno,7,apartamento,2018,7,1798395.61,premium,alvenaria,02344,True,0.15000000000000002,0,danos_eletricos,2024-08-04T07:36:25.081341,0.3,1.9000000000000004,-2.0440928852008384,0.0,0.0
18.6,18.8,17.4,81.7,983.1,70.5,94.2,25.3,12494.0,69.5,2.9,19.2,15.0,7,inverno,14,casa,1993,32,134137.05,baixo,madeira,80454,True,0.8,0,danos_eletricos,2025-07-11T14:36:25.081341,0.39,1.4000000000000021,11.792199586175558,61.32348672333613,328.73982380348576
21.9,25.6,18.4,73.6,1008.4,10.0,43.2,0.0,13628.0,22.7,4.8,20.5,16.7,12,verao,22,casa,2004,21,136419.67,baixo,alvenaria,07817,True,0.7,0,danos_eletricos,2024-12-03T22:36:25.081341,0.3,7.200000000000003,-0.5425951762377705,0.0,0.0
17.5,18.8,9.7,74.1,1009.9,9.6,273.2,23.2,7076.0,87.6,3.7,20.5,12.4,7,inverno,15,casa,2007,18,117739.85,baixo,alvenaria,09761,True,0.6000000000000001,0,danos_eletricos,2023-07-09T15:36:25.081341,0.3,9.100000000000001,-9.88749526661611,47.74845049582222,248.49658105194501
20.7,24.8,14.6,98.6,1008.7,71.4,162.0,50.0,12778.0,100.0,3.8,23.2,20.4,11,primavera,2,casa,2023,2,222080.03,medio,alvenaria,07343,True,0.4,1,danos_eletricos,2024-11-17T02:36:25.081341,0.95,10.200000000000001,-5.516231346033722,137.23650318453338,883.061047736821
33.1,35.2,28.9,40.0,1008.4,15.6,316.6,0.0,13978.0,16.1,8.3,35.9,21.1,3,outono,10,casa,1981,44,69045.72,baixo,madeira,05630,True,0.8,0,danos_eletricos,2024-03-02T10:36:25.081341,0.3,6.300000000000004,3.2584915649747304,0.0,0.0
7.1,10.0,6.9,100.0,999.6,70.3,274.2,53.5,10678.0,100.0,0.0,7.1,7.1,6,inverno,18,sobrado,2015,10,1382148.96,premium,alvenaria,06371,True,0.35,1,danos_eletricos,2025-06-28T18:36:25.081341,0.95,3.0999999999999996,19.48425818792089,86.74526335890238,456.55867246294446
28.0,29.2,27.9,96.8,996.2,44.6,191.3,42.3,9062.0,100.0,6.0,27.6,27.3,1,verao,18,apartamento,1984,41,157185.0,medio,alvenaria,28491,True,0.6000000000000001,1,danos_eletricos,2024-01-24T18:36:25.081341,0.95,1.3000000000000007,-6.06932172534332,65.42919633404264,381.25203239186277
36.6,37.7,33.3,44.3,1013.3,18.8,68.6,49.8,13148.0,100.0,8.2,35.4,25.5,5,outono,11,apartamento,2004,21,263257.58,medio,alvenaria,28042,True,0.5,0,danos_eletricos,2023-05-04T11:36:25.081341,0.3,4.400000000000006,-0.09621276507331178,110.43368145126523,491.11154110377487
