temperatura_atual,temperatura_maxima,temperatura_minima,umidade_relativa,pressao_atmosferica,velocidade_vento,direcao_vento,precipitacao_mm,visibilidade,cobertura_nuvens,indice_uv,sensacao_termica,ponto_orvalho,mes,estacao,hora_dia,tipo_residencia,ano_construcao,idade_imovel,valor_segurado,faixa_valor,material_construcao,cep_prefixo,regiao_metropolitana,risco_construcao,sinistro_ocorreu,coverage_type,data_sinistro,claim_probability,temperatura_diferencial,gradiente_pressao_24h,precipitacao_24h,precipitacao_7dias
10.9,15.0,10.3,74.7,1013.6,16.0,211.3,0.0,7887.0,40.4,0.9,13.0,5.8,8,inverno,21,sobrado,2022,3,901414.89,premium,alvenaria,09920,True,0.35,0,granizo,2024-08-20T21:10:16.977143,0.08,4.699999999999999,-2.5034315576277906,0.0,0.0
34.9,38.1,28.7,56.9,1007.5,17.3,116.3,0.0,14931.0,13.1,7.8,35.9,26.2,1,verao,10,kitnet,1978,47,81301.5,baixo,alvenaria,09392,True,0.75,0,granizo,2025-01-15T10:10:16.977143,0.10400000000000001,9.400000000000002,-3.1902982740285237,0.0,0.0
36.2,41.2,34.2,38.6,1017.4,8.7,287.1,85.9,8183.0,100.0,8.4,34.4,23.9,12,verao,15,apartamento,2011,14,704136.71,alto,madeira,30203,True,0.30000000000000004,0,granizo,2023-12-15T15:10:16.977143,0.08,7.0,-10.812436397324282,199.96971998977958,715.4935239309431
40.4,45.1,36.6,53.3,991.4,31.9,173.0,40.6,8942.0,100.0,9.4,41.6,31.1,11,primavera,15,apartamento,1993,32,80008.65,baixo,alvenaria,45769,False,0.7,1,granizo,2024-11-10T15:10:16.977143,0.10400000000000001,8.5,8.08755026192739,106.89018616326248,278.12142414126043
30.3,32.6,26.5,48.8,1021.8,0.0,92.1,0.0,5122.0,11.8,6.9,29.0,20.0,10,primavera,9,apartamento,2018,7,399643.59,medio,madeira,04022,True,0.30000000000000004,0,granizo,2024-10-03T09:10:16.977143,0.08,6.100000000000001,-7.124862799188675,0.0,0.0
28.0,28.5,27.3,67.8,1018.0,1.1,224.2,0.0,9680.0,40.6,5.2,30.6,21.5,12,verao,19,sobrado,1983,42,353541.31,medio,alvenaria,76235,False,0.8,0,granizo,2023-12-27T19:10:16.977143,0.10400000000000001,1.1999999999999993,-5.699927105564235,0.0,0.0
16.8,20.0,14.9,87.5,1007.8,5.5,87.9,0.0,7451.0,43.3,1.8,18.4,14.3,4,outono,22,casa,1979,46,143820.66,baixo,alvenaria,08107,True,0.8,0,granizo,2024-04-18T22:10:16.977143,0.156,5.1,5.638904795328848,0.0,0.0
35.1,38.4,33.6,30.0,1011.8,2.3,126.1,0.0,8350.0,36.0,8.9,34.6,21.1,4,outono,10,casa,1997,28,214125.87,medio,mista,23010,True,0.6000000000000001,0,granizo,2023-04-23T10:10:16.977143,0.10400000000000001,4.799999999999997,-8.582151278013843,0.0,0.0
30.3,34.5,22.5,100.0,998.9,38.7,152.0,17.4,11136.0,60.7,6.8,28.6,30.3,10,primavera,0,casa,1994,31,369170.0,medio,alvenaria,78771,False,0.7,1,granizo,2025-10-03T00:10:16.977143,0.156,12.0,-3.9976484605813036,33.868370123817854,208.45564419409854
18.4,20.4,11.4,90.0,1020.0,17.6,326.1,78.0,6558.0,100.0,3.1,17.9,16.4,1,verao,20,apartamento,2000,25,213735.12,medio,alvenaria,01923,True,0.5,0,granizo,2025-01-05T20:10:16.977143,0.12,8.999999999999998,-10.827725155022028,219.3856825276769,1381.3297126953196
