temperatura_atual,temperatura_maxima,temperatura_minima,umidade_relativa,pressao_atmosferica,velocidade_vento,direcao_vento,precipitacao_mm,visibilidade,cobertura_nuvens,indice_uv,sensacao_termica,ponto_orvalho,mes,estacao,hora_dia,tipo_residencia,ano_construcao,idade_imovel,valor_segurado,faixa_valor,material_construcao,cep_prefixo,regiao_metropolitana,risco_construcao,sinistro_ocorreu,coverage_type,data_sinistro,claim_probability,temperatura_diferencial,gradiente_pressao_24h,precipitacao_24h,precipitacao_7dias
33.4,34.9,26.2,40.0,991.6,113.8,203.4,30.4,14528.0,100.0,8.4,31.8,21.4,4,outono,9,apartamento,2012,13,714375.43,alto,madeira,20168,True,0.30000000000000004,1,vendaval,2023-04-27T09:36:25.535456,0.3,8.7,-1.2708142094550636,87.08645443989549,382.35377158658366
26.6,30.0,21.8,47.7,985.3,109.6,205.7,0.0,12215.0,40.8,6.3,27.0,16.1,8,inverno,11,apartamento,1982,43,96144.52,baixo,madeira,06035,True,0.7,0,vendaval,2025-08-15T11:36:25.535456,0.39,8.2,7.860108725877621,0.0,0.0
15.9,19.6,8.7,95.0,991.2,84.9,169.0,22.7,10703.0,72.7,2.4,16.0,14.9,12,verao,1,casa,2021,4,624155.7,alto,alvenaria,87749,False,0.30000000000000004,1,vendaval,2024-12-12T01:36:25.535456,0.3,10.900000000000002,-13.102365798174377,60.57768637933674,209.1963398440004
23.5,28.3,17.9,89.0,1010.6,22.4,207.8,25.8,5685.0,94.1,4.0,24.4,21.3,12,verao,7,apartamento,1998,27,75173.14,baixo,alvenaria,03890,True,0.6000000000000001,0,vendaval,2024-12-06T07:36:25.535456,0.3,10.400000000000002,2.0490533552027355,39.48770178538461,264.7844962260132
19.1,22.5,13.0,57.7,966.6,101.0,179.5,20.4,5226.0,83.7,4.1,19.3,10.7,8,inverno,10,apartamento,1983,42,53008.61,baixo,alvenaria,96164,False,0.7,1,vendaval,2024-08-21T10:36:25.535456,0.39,9.5,-1.7634012948420792,59.63225510658172,141.0743203064991
21.3,22.9,14.6,67.8,1011.3,12.8,146.6,0.0,13339.0,30.0,4.3,24.2,14.9,3,outono,5,sobrado,1985,40,182076.02,medio,alvenaria,60193,True,0.8,0,vendaval,2025-03-25T05:36:25.535456,0.3,8.299999999999999,-0.9991186718114404,0.0,0.0
25.5,28.5,19.0,70.1,1019.2,5.0,285.0,25.0,14380.0,82.8,5.4,27.5,19.5,9,primavera,1,casa,2010,15,711090.49,alto,madeira,65771,False,0.4,0,vendaval,2023-09-26T01:36:25.535456,0.3,9.5,-8.474793409938464,60.651020863993125,351.21815998123304
29.4,32.6,25.5,55.4,1011.4,24.9,207.1,35.3,9919.0,100.0,6.6,31.5,20.4,11,primavera,17,casa,1979,46,220376.25,medio,madeira,22155,True,0.7,1,vendaval,2024-11-17T17:36:25.535456,0.3,7.100000000000001,-3.515933638347531,89.38502675844482,367.13985365557147
23.4,26.6,19.9,77.7,996.9,82.2,92.1,0.0,6599.0,43.2,3.8,25.8,19.0,4,outono,4,apartamento,2021,4,712077.12,alto,alvenaria,27365,True,0.2,1,vendaval,2023-04-11T04:36:25.535456,0.95,6.700000000000003,-7.312769229307066,0.0,0.0
8.7,10.1,5.7,95.0,1016.8,0.0,273.6,0.0,6592.0,46.6,0.0,8.6,7.7,11,primavera,18,sobrado,1982,43,110214.65,baixo,alvenaria,87768,False,0.8999999999999999,1,vendaval,2022-11-13T18:36:25.535456,0.3,4.3999999999999995,-7.1056181945937205,0.0,0.0
